Focal,year,startdate,midDate,focgrp,ff_a1,ff_a2,ff_vg1,ff_vg2,ff_g1,ff_g2,fm_a1,fm_a2,fm_vg1,fm_vg2,fm_g1,fm_g2,obslact,obspreg,obsflat,obsswol,obsunkn,totalobs,obsinf91days,obsfs,notfs,CoresMDS
tr,2016,42370,42522,YNT,36,30,35,27,12,17,16,18,0,4,3,0,55,1,0,0,0,56,26,0,0,0
tr,2017,42736,42887,YNT,77,44,74,18,1,0,27,33,15,5,7,5,41,15,0,14,2,72,0,1,1,1
ty,2013,41275,41426,PHG,12,0,10,2,1,3,6,5,0,0,0,0,0,0,2,7,2,11,0,0,0,1
ty,2014,41640,41791,PHG,127,54,100,21,17,24,83,89,16,23,24,17,0,0,27,97,7,131,0,38,38,1
ty,2015,42005,42156,PHG,168,122,208,82,10,4,30,86,25,34,4,12,9,50,5,23,0,87,9,14,14,2
ty,2016,42370,42522,PHG,32,98,50,66,3,21,15,61,9,18,4,3,51,32,0,2,0,85,12,3,3,0
ty,2017,42736,42887,PHG,42,131,21,129,1,25,59,137,6,65,5,14,36,15,17,16,0,84,36,9,9,0
ua,2013,41275,41426,ENK,26,36,32,71,2,10,11,14,4,9,12,1,12,0,0,0,0,12,12,0,0,2
ua,2014,41640,41791,ENK,199,63,256,63,27,16,115,145,24,29,14,5,31,43,17,41,1,133,1,24,24,2
ua,2015,42005,42156,ENK,328,256,252,398,22,58,84,96,33,88,20,5,55,22,0,10,0,87,26,4,4,2
ua,2016,42370,42522,ENK,121,67,119,61,27,29,32,50,4,4,14,2,42,27,0,15,1,85,20,6,6,2
ua,2017,42736,42887,ENK,118,45,132,32,9,6,52,62,7,34,29,11,26,70,0,0,0,96,15,0,0,2
ug,2013,41275,41426,PHG,14,9,15,5,2,1,11,20,4,10,4,2,0,0,6,7,0,13,0,2,2,1
ug,2014,41640,41791,PHG,93,71,83,23,11,5,85,244,24,34,16,22,0,0,41,82,12,135,0,42,42,1
ug,2015,42005,42156,PHG,204,300,322,258,28,36,29,52,15,24,3,1,41,49,0,0,0,90,18,0,0,1
ug,2016,42370,42522,PHG,102,153,139,114,19,27,21,43,6,13,10,2,36,44,0,6,0,86,26,3,3,1
ug,2017,42736,42887,PHG,87,89,136,47,22,22,35,124,10,18,6,15,42,7,14,21,1,85,0,10,10,2
uj,2014,41640,41791,PHG,85,72,84,19,27,6,65,75,19,13,20,4,0,0,21,71,9,101,0,20,20,2
uj,2015,42005,42156,PHG,204,140,254,74,74,24,62,102,26,22,15,22,0,36,21,34,0,91,0,22,22,2
uj,2016,42370,42522,PHG,137,177,110,144,23,35,29,59,6,18,15,14,59,4,9,13,0,85,26,6,6,3
uj,2017,42736,42887,PHG,76,61,166,41,25,5,72,182,52,30,12,17,0,8,41,34,1,84,0,19,19,3
uk,2014,41640,41791,ENK,89,46,138,39,11,2,46,53,12,14,7,2,0,0,47,65,4,116,0,20,20,1
uk,2015,42005,42156,ENK,226,224,374,176,52,28,36,37,17,29,5,1,48,44,0,0,0,92,18,0,0,2
uk,2016,42370,42522,ENK,87,98,82,60,16,14,11,29,2,2,4,1,12,45,8,20,0,85,10,4,4,2
uk,2017,42736,42887,ENK,95,109,83,73,29,10,21,29,2,7,5,2,57,18,0,4,6,85,5,2,2,2
un,2013,41275,41426,PHG,7,9,16,6,4,5,4,33,1,4,1,9,0,0,0,12,0,12,0,8,8,2
un,2014,41640,41791,PHG,106,195,119,146,35,39,49,97,7,28,13,5,65,64,0,4,2,135,33,0,0,2
un,2015,42005,42156,PHG,150,250,314,148,46,26,36,48,2,10,0,0,36,44,0,7,0,87,18,1,1,2
un,2016,42370,42522,PHG,66,71,105,33,7,1,21,72,1,6,7,11,7,47,9,23,0,86,7,10,10,2
un,2017,42736,42887,PHG,81,201,106,147,25,34,45,104,4,29,4,11,53,5,10,17,0,85,12,8,8,3
uq,2017,42736,42887,ENK,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,3,0,2,2,1
ur,2013,41275,41426,PHG,13,31,22,63,5,9,7,18,3,9,0,0,12,0,0,0,0,12,11,0,0,2
ur,2014,41640,41791,PHG,118,147,134,90,40,19,65,106,19,20,10,9,37,55,7,36,0,135,0,8,8,3
ur,2015,42005,42156,PHG,244,346,176,306,70,62,97,128,10,30,7,15,53,21,4,13,0,91,19,6,6,3
ur,2016,42370,42522,PHG,76,136,66,82,32,34,42,57,3,12,8,6,58,27,0,0,0,85,20,0,0,4
ur,2017,42736,42887,PHG,100,117,102,30,24,14,72,202,4,9,3,8,23,0,17,42,3,85,0,26,26,4
ut,2013,41275,41426,ENK,17,11,26,6,5,0,11,42,0,1,0,9,0,0,0,0,11,11,0,0,0,2
